#HMM_family	HMM_len	Query_ID	Query_len	E-value	HMM_start	HMM_end	Query_start	Query_end	Coverage
GT71	264	FUN_005479-T1	509	2.8e-50	0	264	149	407	1.000000
AA3_2	568	FUN_005494-T1	586	7.7e-149	1	567	11	578	0.996479
AA3	618	FUN_005494-T1	586	3.9e-83	86	402	9	581	0.511327
AA3_3	590	FUN_005494-T1	586	9.3e-53	2	450	12	467	0.759322
GT22	389	FUN_005527-T1	645	5.8e-108	5	388	26	524	0.984576
AA7	458	FUN_005575-T1	518	2e-27	4	192	30	211	0.410480
GH76	358	FUN_005598-T1	594	1.2e-109	11	356	34	402	0.963687
GT3	637	FUN_005673-T1	706	1.7e-305	0	637	16	657	1.000000
AA1	358	FUN_005805-T1	634	4.2e-87	6	358	117	605	0.983240
AA1_2	337	FUN_005805-T1	634	1.1e-55	1	331	119	485	0.979228
AA1_3	312	FUN_005805-T1	634	5.7e-55	10	271	98	383	0.836538
AA1_1	303	FUN_005805-T1	634	3e-43	1	234	113	368	0.768977
PL38	279	FUN_005807-T1	422	7.7e-104	0	275	81	358	0.985663
GT2_Glyco_tranf_2_3	230	FUN_005867-T1	530	5.3e-25	2	229	73	309	0.986957
AA4	522	FUN_005872-T1	669	1.8e-21	2	247	187	425	0.469349
AA7	458	FUN_005872-T1	669	9.4e-21	10	195	236	428	0.403930
GH47	446	FUN_005886-T1	1182	2.5e-142	0	445	125	668	0.997758
GT32	90	FUN_005897-T1	405	4.3e-19	5	88	93	178	0.922222
GH55	740	FUN_005969-T1	759	1.8e-230	7	739	30	757	0.989189
GH16_3	230	FUN_006036-T1	287	2.8e-50	0	230	33	284	1.000000
GH16	189	FUN_006036-T1	287	6.9e-36	7	189	43	284	0.962963
GH16_5	238	FUN_006036-T1	287	2.7e-22	105	238	124	284	0.558824
GH71	375	FUN_006060-T1	472	6.5e-93	0	161	44	198	0.429333
GH3	216	FUN_006061-T1	949	1.1e-53	3	210	113	335	0.958333
