scaffold_1_42 200 217
scaffold_1_42 286 599
scaffold_1_42 656 869
scaffold_1_42 933 2888

scaffold_1_43 200 283
scaffold_1_43 389 1272
scaffold_1_43 1329 1596

scaffold_1_44 200 242
scaffold_1_44 309 380
scaffold_1_44 433 491
scaffold_1_44 550 4089

scaffold_1_45 200 1219
scaffold_1_45 1273 2067

scaffold_1_46 200 477
scaffold_1_46 541 1496
scaffold_1_46 1679 1689
scaffold_1_46 1742 1767
scaffold_1_46 1851 1858
scaffold_1_46 1918 1940
scaffold_1_46 2351 2367
scaffold_1_46 3129 3161
scaffold_1_46 3324 3354
scaffold_1_46 3418 3428
scaffold_1_46 3675 3694
scaffold_1_46 4044 4059
scaffold_1_46 4158 4170
scaffold_1_46 4731 4739
scaffold_1_46 5693 5706
scaffold_1_46 6135 6138

scaffold_1_47 200 342
scaffold_1_47 410 1719
scaffold_1_47 1769 1881
scaffold_1_47 1934 2083
scaffold_1_47 2126 2179

scaffold_1_48 200 758
scaffold_1_48 804 1193
scaffold_1_48 1242 2077

scaffold_1_49 200 268
scaffold_1_49 331 1242

scaffold_1_50 200 351
scaffold_1_50 402 506
scaffold_1_50 554 1265

scaffold_1_51 200 209
scaffold_1_51 266 780
scaffold_1_51 834 1373

scaffold_1_52 200 220
scaffold_1_52 282 825
scaffold_1_52 1177 1302
scaffold_1_52 1350 3172

scaffold_1_53 200 736
scaffold_1_53 814 993
scaffold_1_53 1080 1255
scaffold_1_53 1323 1360
scaffold_1_53 1468 1541
scaffold_1_53 1626 1686
scaffold_1_53 1782 1910
scaffold_1_53 1969 2123

scaffold_1_54 200 262
scaffold_1_54 324 479
scaffold_1_54 528 1694
scaffold_1_54 1746 1919

scaffold_1_55 200 1270

scaffold_1_56 200 289
scaffold_1_56 344 422
scaffold_1_56 486 556
scaffold_1_56 623 721

scaffold_1_57 200 1461
scaffold_1_57 1515 2100

scaffold_1_58 200 202
scaffold_1_58 392 554
scaffold_1_58 827 1175
scaffold_1_58 1246 1333

scaffold_1_59 200 236
scaffold_1_59 417 457
scaffold_1_59 559 1176

scaffold_1_60 200 2014

scaffold_2_1 187 609
scaffold_2_1 683 897
scaffold_2_1 954 1583
scaffold_2_1 1638 2202

scaffold_2_2 200 298
scaffold_2_2 360 3485

scaffold_2_3 200 1546

scaffold_2_4 200 875
scaffold_2_4 1058 4986

scaffold_2_5 200 2147
scaffold_2_5 2631 2642
scaffold_2_5 4066 4122
scaffold_2_5 4210 4239
scaffold_2_5 4451 4518

scaffold_2_6 200 353
scaffold_2_6 420 530
scaffold_2_6 589 716
scaffold_2_6 769 999

scaffold_2_7 200 239
scaffold_2_7 308 433
scaffold_2_7 522 730
scaffold_2_7 792 824

scaffold_2_8 200 233
scaffold_2_8 293 495

scaffold_2_9 200 202
scaffold_2_9 256 415
scaffold_2_9 490 657
scaffold_2_9 1149 1171

scaffold_2_10 200 478
scaffold_2_10 549 606
scaffold_2_10 673 736
