38748at5125	scaffold_138	0	7515
52056at5125	scaffold_21	173312	183785
53420at5125	scaffold_223	43896	54400
57780at5125	scaffold_586	0	5627
49005at5125	scaffold_83	73921	84794
28091at5125	scaffold_219	18847	30137
28091at5125	scaffold_365	11715	22833
28091at5125	scaffold_96	9721	20953
56546at5125	scaffold_132	0	5413
53169at5125	scaffold_173	56542	67516
53169at5125	scaffold_41	55789	66172
57987at5125	scaffold_2	352688	363041
57987at5125	scaffold_421	8305	18487
51654at5125	scaffold_4	272020	283358
57858at5125	scaffold_70	107698	118303
4780at5125	scaffold_700	0	7751
19159at5125	scaffold_173	0	6349
19159at5125	scaffold_460	0	5775
51776at5125	scaffold_1270	0	5608
33298at5125	scaffold_8	192682	204283
36841at5125	scaffold_184	54766	66875
26732at5125	scaffold_50	102629	114263
61111at5125	scaffold_15	149860	160600
54764at5125	scaffold_30	52005	63289
44954at5125	scaffold_1025	0	5128
41674at5125	scaffold_291	0	6057
41674at5125	scaffold_486	0	5460
28113at5125	scaffold_336	13709	25004
28113at5125	scaffold_99	83877	95214
59215at5125	scaffold_412	8319	18997
21318at5125	scaffold_41	68994	81216
35536at5125	scaffold_96	46541	57227
35536at5125	scaffold_748	0	7197
34094at5125	scaffold_20	166991	178926
23075at5125	scaffold_622	0	9308
20105at5125	scaffold_771	0	6892
20105at5125	scaffold_50	97604	108446
52553at5125	scaffold_503	0	5528
55325at5125	scaffold_186	11084	21701
36618at5125	scaffold_13	214503	226139
39838at5125	scaffold_141	6805	17920
43381at5125	scaffold_686	0	7880
53535at5125	scaffold_359	15902	26495
54535at5125	scaffold_393	694	11496
55872at5125	scaffold_103	97611	108221
18764at5125	scaffold_325	1374	12495
18764at5125	scaffold_775	0	6874
13122at5125	scaffold_233	40803	52204
13122at5125	scaffold_290	27356	38114
46141at5125	scaffold_35	34400	45269
50066at5125	scaffold_100	99152	109475
50066at5125	scaffold_450	6460	16732
7822at5125	scaffold_86	0	6486
24218at5125	scaffold_107	93235	105224
24218at5125	scaffold_117	84764	95853
29557at5125	scaffold_754	0	5880
58983at5125	scaffold_293	19326	30198
59791at5125	scaffold_444	0	5303
46175at5125	scaffold_41	94843	105704
52076at5125	scaffold_57	107650	118372
16406at5125	scaffold_158	0	6630
40039at5125	scaffold_153	5889	17166
20064at5125	scaffold_610	0	6128
27636at5125	scaffold_210	0	6169
50799at5125	scaffold_554	0	11135
31071at5125	scaffold_85	83470	94819
46493at5125	scaffold_416	0	5351
44813at5125	scaffold_205	32815	43998
56019at5125	scaffold_53	49869	61017
52116at5125	scaffold_120	55165	65875
20162at5125	scaffold_101	1107	12546
57716at5125	scaffold_124	82771	93356
35323at5125	scaffold_206	0	6053
