4784at5125	scaffold_165	61097	74192
4784at5125	scaffold_91	8600	21768
7776at5125	scaffold_283	0	12157
7776at5125	scaffold_2	313328	325383
29940at5125	scaffold_7	13010	24558
53050at5125	scaffold_327	10849	21586
25990at5125	scaffold_191	6008	17603
13055at5125	scaffold_182	41620	52999
13055at5125	scaffold_5	113343	124650
6190at5125	scaffold_91	42932	55802
28586at5125	scaffold_37	40318	52084
39476at5125	scaffold_86	11137	22177
39476at5125	scaffold_11	144193	155205
39476at5125	scaffold_167	20993	31724
48680at5125	scaffold_10	90908	101537
12190at5125	scaffold_90	55058	67028
12190at5125	scaffold_66	71279	83193
12190at5125	scaffold_177	7490	19184
51080at5125	scaffold_97	82792	93427
13949at5125	scaffold_104	13000	24865
45220at5125	scaffold_102	11275	22009
24298at5125	scaffold_212	25291	37343
45828at5125	scaffold_9	179621	190449
13339at5125	scaffold_106	54444	66660
13339at5125	scaffold_250	13478	25253
13339at5125	scaffold_28	153973	165717
18744at5125	scaffold_18	93371	105329
9293at5125	scaffold_248	23107	35701
25352at5125	scaffold_8	191426	227756
49246at5125	scaffold_207	0	6219
3690at5125	scaffold_77	105637	119267
40359at5125	scaffold_19	134880	145778
8760at5125	scaffold_35	157085	169390
8760at5125	scaffold_283	0	8766
8760at5125	scaffold_70	115457	127118
32284at5125	scaffold_289	1340	12902
17187at5125	scaffold_54	0	11060
949at5125	scaffold_50	0	12721
38175at5125	scaffold_236	14355	25485
14194at5125	scaffold_79	19134	31279
26010at5125	scaffold_13	203908	215317
26010at5125	scaffold_3	18656	29657
26010at5125	scaffold_393	0	8515
2163at5125	scaffold_186	31026	42213
25909at5125	scaffold_181	49096	60348
25909at5125	scaffold_179	37735	48871
25909at5125	scaffold_234	38413	49552
41443at5125	scaffold_192	48832	59473
11992at5125	scaffold_214	0	11016
7743at5125	scaffold_4	103825	116539
7743at5125	scaffold_366	12185	23864
40998at5125	scaffold_80	98654	109418
28511at5125	scaffold_84	42352	53447
28511at5125	scaffold_360	4123	15223
3697at5125	scaffold_27	164925	178305
3346at5125	scaffold_58	13775	38871
36547at5125	scaffold_31	81448	92788
8597at5125	scaffold_228	0	7193
8597at5125	scaffold_364	4224	15816
40683at5125	scaffold_292	22700	33633
40683at5125	scaffold_4	14863	25610
30133at5125	scaffold_126	72494	83903
30133at5125	scaffold_454	0	6768
30133at5125	scaffold_254	6239	17477
56635at5125	scaffold_12	33207	43657
36077at5125	scaffold_67	112594	123681
58221at5125	scaffold_78	52264	62671
37211at5125	scaffold_3	144677	156066
25777at5125	scaffold_148	19139	30164
25777at5125	scaffold_59	126974	137858
25777at5125	scaffold_3	212890	223711
10062at5125	scaffold_10	16800	27732
35445at5125	scaffold_56	17713	29515
54934at5125	scaffold_6	110631	121044
7709at5125	scaffold_60	81670	94348
24854at5125	scaffold_43	30829	42001
