# BUSCO version is: 2.0 
# The lineage dataset is: hypocreales_odb10 (Creation date: 2020-08-05, number of species: 50, number of BUSCOs: 4494)
# To reproduce this run: python /home/zack/miniconda3/envs/funannotate/lib/python3.7/site-packages/funannotate/aux_scripts/funannotate-BUSCO2.py -i /home/zack/Desktop/IsariaPreferralGenome/MyGenomeSubmittedToNCBI/HypocrealesProteinSets/GENOMES/TrichodermaReesei_CBS999.97/FunannotatePredict/predict_misc/busco_augustus.proteins.fasta -o trichoderma_reesei_cbs999.97 -l /home/zack/funannotate_db/hypocreales_odb10/ -m proteins -c 4 -sp anidulans
#
# Busco id	Status	Sequence	Score	Length
14618at5125	Complete	gene1304.t1	957.5	499
14620at5125	Complete	gene1305.t1	969.6	534
1462at5125	Complete	gene132.t1	2115.0	1139
14632at5125	Complete	gene1306.t1	741.4	458
14639at5125	Complete	gene1307.t1	643.5	448
14671at5125	Complete	gene1308.t1	998.2	507
14679at5125	Complete	gene1309.t1	751.2	472
14726at5125	Complete	gene1310.t1	785.1	562
14736at5125	Complete	gene1311.t1	1001.9	445
14737at5125	Complete	gene1312.t1	818.1	410
1473at5125	Complete	gene133.t1	1384.0	1103
14748at5125	Complete	gene1313.t1	822.9	487
14763at5125	Complete	gene1314.t1	529.4	493
14797at5125	Complete	gene1315.t1	761.0	371
14810at5125	Complete	gene1316.t1	1013.2	565
14811at5125	Complete	gene1317.t1	723.0	558
14816at5125	Complete	gene1318.t1	851.4	663
14818at5125	Complete	gene1319.t1	701.7	437
1484at5125	Complete	gene134.t1	2663.6	1515
14852at5125	Complete	gene1320.t1	744.1	490
14858at5125	Complete	gene1321.t1	883.8	412
1485at5125	Complete	gene135.t1	2012.8	1328
14922at5125	Complete	gene1322.t1	945.7	462
14924at5125	Complete	gene1323.t1	758.1	416
14931at5125	Complete	gene1324.t1	772.3	492
14934at5125	Complete	gene1325.t1	781.1	479
15009at5125	Complete	gene1326.t1	727.1	431
1502at5125	Complete	gene136.t1	1943.5	1087
15062at5125	Complete	gene1327.t1	957.0	569
15063at5125	Complete	gene1328.t1	869.0	470
1508at5125	Complete	gene137.t1	1923.3	1006
15093at5125	Complete	gene1329.t1	837.9	481
15095at5125	Complete	gene1330.t1	833.4	492
15099at5125	Complete	gene1331.t1	894.2	535
1510at5125	Complete	gene138.t1	2293.2	1204
15118at5125	Complete	gene1332.t1	671.3	382
1511at5125	Complete	gene139.t1	1750.0	1206
15129at5125	Complete	gene1333.t1	676.5	394
15136at5125	Complete	gene1334.t1	693.2	513
15137at5125	Complete	gene1335.t1	874.1	453
15141at5125	Complete	gene1336.t1	830.2	562
15142at5125	Complete	gene1337.t1	949.2	596
15144at5125	Missing
15148at5125	Complete	gene1338.t1	747.9	496
1515at5125	Complete	gene140.t1	1783.9	1067
15168at5125	Complete	gene1339.t1	967.4	510
15175at5125	Complete	gene1340.t1	766.5	492
15188at5125	Complete	gene1341.t1	959.4	428
15212at5125	Complete	gene1342.t1	708.1	446
15219at5125	Complete	gene1343.t1	801.8	510
15220at5125	Complete	gene1344.t1	675.4	381
15255at5125	Complete	gene1345.t1	874.6	413
15277at5125	Complete	gene1346.t1	996.7	500
1528at5125	Complete	gene141.t1	2244.7	1207
15301at5125	Complete	gene1347.t1	869.0	444
15304at5125	Complete	gene1348.t1	986.3	491
15318at5125	Missing
1531at5125	Complete	gene142.t1	2078.5	1109
15369at5125	Complete	gene1349.t1	992.6	620
15387at5125	Complete	gene1350.t1	916.9	476
15392at5125	Complete	gene1351.t1	920.7	498
15397at5125	Complete	gene1352.t1	969.6	537
15401at5125	Complete	gene1353.t1	503.5	549
15412at5125	Complete	gene1354.t1	823.9	435
15413at5125	Complete	gene1355.t1	802.4	442
15432at5125	Complete	gene1356.t1	1004.9	555
15448at5125	Complete	gene1357.t1	1010.3	481
15454at5125	Complete	gene1358.t1	1028.5	471
15464at5125	Complete	gene1359.t1	682.6	586
15476at5125	Complete	gene1360.t1	753.7	417
15483at5125	Complete	gene1361.t1	1042.4	523
15491at5125	Complete	gene1362.t1	758.8	458
154at5125	Complete	gene11.t1	3968.1	2436
15516at5125	Complete	gene1363.t1	855.1	453
15558at5125	Complete	gene1364.t1	752.9	466
15565at5125	Complete	gene1365.t1	953.0	574
155at5125	Complete	gene12.t1	3940.1	2221
15618at5125	Complete	gene1366.t1	820.7	471
15626at5125	Complete	gene1367.t1	802.5	483
15628at5125	Complete	gene1368.t1	851.5	475
15635at5125	Complete	gene1369.t1	973.5	543
15656at5125	Complete	gene1370.t1	896.5	429
15657at5125	Complete	gene1371.t1	900.8	445
1565at5125	Complete	gene143.t1	1983.8	951
1566at5125	Complete	gene144.t1	1963.3	1074
15674at5125	Complete	gene1372.t1	850.8	607
15676at5125	Complete	gene1373.t1	737.5	519
15682at5125	Complete	gene1374.t1	791.7	421
15691at5125	Complete	gene1375.t1	790.8	466
15707at5125	Complete	gene1376.t1	699.6	477
15719at5125	Complete	gene1377.t1	683.1	1012
15727at5125	Complete	gene1378.t1	955.6	477
15737at5125	Complete	gene1379.t1	900.2	483
15743at5125	Complete	gene1380.t1	1148.5	677
15758at5125	Complete	gene1381.t1	926.7	456
15765at5125	Complete	gene1382.t1	846.6	501
15770at5125	Complete	gene1383.t1	729.6	401
15772at5125	Complete	gene1384.t1	692.4	400
15786at5125	Complete	gene1385.t1	1013.1	495
15789at5125	Complete	gene1386.t1	988.0	495
15797at5125	Complete	gene1387.t1	787.4	488
15803at5125	Complete	gene1388.t1	791.0	440
1580at5125	Missing
15812at5125	Complete	gene1389.t1	438.5	401
15816at5125	Complete	gene1390.t1	834.0	571
15817at5125	Complete	gene1391.t1	822.0	569
15836at5125	Complete	gene1392.t1	571.8	377
15850at5125	Complete	gene1393.t1	781.9	424
15899at5125	Complete	gene1394.t1	991.3	579
15903at5125	Complete	gene1395.t1	743.2	503
15909at5125	Complete	gene1396.t1	585.7	381
15937at5125	Complete	gene1397.t1	638.3	441
15939at5125	Complete	gene1398.t1	486.1	362
15955at5125	Complete	gene1399.t1	823.8	456
15960at5125	Complete	gene1400.t1	840.8	419
15972at5125	Complete	gene1401.t1	602.0	431
15973at5125	Complete	gene1402.t1	953.8	501
15976at5125	Complete	gene1403.t1	673.7	411
1597at5125	Complete	gene146.t1	1983.8	1092
15981at5125	Complete	gene1404.t1	962.9	497
16010at5125	Complete	gene1405.t1	945.7	448
16042at5125	Complete	gene1406.t1	934.7	448
16058at5125	Complete	gene1407.t1	848.8	473
1605at5125	Complete	gene147.t1	2312.2	1284
16071at5125	Complete	gene1408.t1	681.4	459
16076at5125	Complete	gene1409.t1	655.1	401
16085at5125	Complete	gene1410.t1	846.7	441
16100at5125	Complete	gene1411.t1	1035.4	498
16122at5125	Complete	gene1412.t1	965.6	827
16123at5125	Complete	gene1413.t1	897.6	552
16124at5125	Complete	gene1414.t1	830.0	482
1612at5125	Complete	gene148.t1	2331.9	1215
1613at5125	Complete	gene149.t1	1519.4	991
16145at5125	Complete	gene1415.t1	806.6	462
